"individualID","uid","date","eventID","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","remarks","obsYear"
"NEON.PLA.D16.ABBY.06063","49e42cb1-8e1c-42fb-96cb-3d2fc9f4cefa",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06029","60ce1ddc-4b75-49c8-ab46-088486333db4",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06012","c1748b24-c339-41e5-933d-dbaf792a69b1",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06071","e4997876-19af-4083-b903-df4342a71837",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06089","efc73f9a-ed10-49f2-887c-dce827e8147a",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06182","0cdc4257-5f1f-4a17-a526-292c315be871",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06092","6b46475b-91f4-426e-985e-8afa8b5022c7",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06046","a3a88ca1-2cdb-4c1d-b81a-053b4c699a06",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06068","e83db5d5-ae98-4403-a16b-26c15108dde1",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06046","d9652ae3-f5b0-4e57-94b5-f031347818b0",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06035","555b63e5-6e97-4f68-be64-216413e23045",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06051","923af4fd-c8b4-49fa-b2b3-51c463dd641a",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06048","988be630-9752-4a06-a660-7061ea990dcf",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06022","b807bfdc-80cd-4b7c-bac6-4780cd71a893",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06048","55e5b8c1-c8f7-4316-98e2-97092ca4550f",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06085","d1a9c7a6-14dc-4720-9dec-ec5e8172bb64",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06027","9b162052-e8ba-47fb-8f9e-299bd2f4722e",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06051","98b1f377-a82d-43f4-8e08-a154473827a1",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06023","b8dce377-169f-4b3c-8b1b-239b7fab25cd",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06095","bc6792bd-595d-4d22-a36d-8099e16698aa",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06056","da89bfc2-6bd8-4b0a-bd2d-9ac772745fac",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
